T	2017-04-10 16:25:23	19.132343800	72.914958900		
T	2017-04-10 16:25:29	19.132167300	72.915049000		
T	2017-04-10 16:25:35	19.131956000	72.915212800		
T	2017-04-10 16:25:41	19.131707300	72.915291100		
T	2017-04-10 16:25:47	19.131559100	72.915311000		
T	2017-04-10 16:25:54	19.131196200	72.915330000		
T	2017-04-10 16:26:00	19.130627300	72.915431700		
T	2017-04-10 16:26:06	19.130092700	72.915438300		
T	2017-04-10 16:26:13	19.129705100	72.915431400		
T	2017-04-10 16:26:13	19.129569000	72.915408600		
T	2017-04-10 16:26:16	19.129433800	72.915406800		
T	2017-04-10 16:26:23	19.128959700	72.915490700		
T	2017-04-10 16:26:29	19.128586900	72.915499300		
T	2017-04-10 16:26:29	19.128742100	72.915494300		
T	2017-04-10 16:26:35	19.128199400	72.915452700		
T	2017-04-10 16:26:41	19.127881600	72.915420100		
T	2017-04-10 16:26:48	19.127477600	72.915461000		
T	2017-04-10 16:26:54	19.127003000	72.915665500		
T	2017-04-10 16:27:01	19.126372500	72.915975200		
T	2017-04-10 16:27:02	19.126536800	72.915896000		
T	2017-04-10 16:27:09	19.126086600	72.916153200		
T	2017-04-10 16:27:16	19.126030300	72.916453600		
T	2017-04-10 16:27:16	19.126043500	72.916359100		
T	2017-04-10 16:27:47	19.125986800	72.916295900		
T	2017-04-10 16:27:59	19.126002300	72.916419700		
T	2017-04-10 16:28:53	19.125992400	72.916422600		
T	2017-04-10 16:31:16	19.125997300	72.916398000		
T	2017-04-10 16:35:30	19.125998800	72.916401500		
T	2017-04-10 16:36:06	19.125919600	72.916468400		
T	2017-04-10 16:36:13	19.125838400	72.916412600		
T	2017-04-10 16:36:15	19.125838400	72.916412600		
T	2017-04-10 16:36:20	19.125838300	72.916215500		
T	2017-04-10 16:36:27	19.126149700	72.916043200		
T	2017-04-10 16:36:34	19.126425300	72.915915200		
T	2017-04-10 16:36:36	19.126630400	72.915827800		
T	2017-04-10 16:36:42	19.127056200	72.915613200		
T	2017-04-10 16:36:48	19.127521100	72.915386300		
T	2017-04-10 16:36:54	19.127970100	72.915320100		
T	2017-04-10 16:37:00	19.128449700	72.915428000		
T	2017-04-10 16:37:08	19.128866500	72.915486800		
T	2017-04-10 16:37:08	19.128629300	72.915453300		
T	2017-04-10 16:37:15	19.129217600	72.915416400		
T	2017-04-10 16:37:21	19.129694500	72.915391000		
T	2017-04-10 16:37:27	19.129971700	72.915363200		
T	2017-04-10 16:37:34	19.130251800	72.915415100		
T	2017-04-10 16:37:38	19.130618900	72.915430200		
T	2017-04-10 16:37:41	19.130898900	72.915347400		
T	2017-04-10 16:37:47	19.131308100	72.915324800		
T	2017-04-10 16:37:49	19.131438400	72.915283300		
T	2017-04-10 16:37:56	19.131769100	72.915175300		
T	2017-04-10 16:38:53	19.131931600	72.915163000		
T	2017-04-10 16:39:00	19.132124800	72.915081900		
T	2017-04-10 16:39:01	19.132255600	72.914988700		
T	2017-04-10 16:39:04	19.132356900	72.914908100		
T	2017-04-10 16:39:11	19.132453000	72.914833200		
T	2017-04-10 16:39:17	19.132727900	72.914551200		
T	2017-04-10 16:39:19	19.132873100	72.914195500		
T	2017-04-10 16:39:26	19.132994400	72.913990500		
T	2017-04-10 16:39:38	19.133372700	72.913897100		
T	2017-04-10 16:39:38	19.133257500	72.913897400		
T	2017-04-10 16:39:47	19.133526200	72.913955500		
T	2017-04-10 16:39:53	19.133908600	72.914035000		
T	2017-04-10 16:39:59	19.134377300	72.914170300		
T	2017-04-10 16:40:05	19.134790400	72.914329200		
T	2017-04-10 16:40:18	19.135061300	72.914400300		
T	2017-04-10 16:40:18	19.135905100	72.914743800		
T	2017-04-10 16:40:32	19.136000500	72.914709500		
T	2017-04-10 16:40:34	19.136099900	72.914534100		
T	2017-04-10 16:40:37	19.136073000	72.914340500		
T	2017-04-10 16:40:40	19.136073400	72.914181600		
T	2017-04-10 16:40:47	19.135958000	72.913846200		
T	2017-04-10 16:40:54	19.135951200	72.913448300		
T	2017-04-10 16:41:00	19.136037300	72.912942000		
T	2017-04-10 16:41:10	19.136038200	72.912627500		
T	2017-04-10 16:41:10	19.135985900	72.912225300		
T	2017-04-10 16:41:15	19.135894200	72.912004000		
T	2017-04-10 16:41:22	19.136029300	72.911988400		
T	2017-04-10 16:41:25	19.136045900	72.911778600		
T	2017-04-10 16:41:28	19.136013500	72.911587200		
T	2017-04-10 16:41:31	19.136043100	72.911346400		
T	2017-04-10 16:41:40	19.136068800	72.911129400		
T	2017-04-10 16:41:40	19.136152100	72.910678200		
T	2017-04-10 16:41:44	19.136045700	72.910519300		
T	2017-04-10 16:41:51	19.135671100	72.910345000		
T	2017-04-10 16:41:57	19.135562900	72.910362900		
T	2017-04-10 16:42:14	19.135243600	72.910337500		
T	2017-04-10 16:42:21	19.134760200	72.910181500		
T	2017-04-10 16:42:22	19.134555800	72.910126400		
T	2017-04-10 16:42:29	19.134424600	72.910071300		
T	2017-04-10 16:42:37	19.134475300	72.909796900		
T	2017-04-10 16:42:41	19.134591700	72.909345500		
T	2017-04-10 16:42:49	19.134673000	72.909077500		
T	2017-04-10 16:42:55	19.135034800	72.908039700		
T	2017-04-10 16:43:01	19.135026800	72.907871500		
T	2017-04-10 16:43:13	19.135060200	72.907712700		
T	2017-04-10 16:43:20	19.135220500	72.907269300		
T	2017-04-10 16:43:26	19.135282200	72.906778800		
T	2017-04-10 16:43:32	19.135369800	72.906395200		
T	2017-04-10 16:43:33	19.135390500	72.906192700		
T	2017-04-10 16:43:42	19.135416000	72.906010500		
T	2017-04-10 16:43:42	19.135452000	72.905856200		
T	2017-04-10 16:43:45	19.135537000	72.905649900		
T	2017-04-10 16:45:09	19.135506200	72.905589900		
T	2017-04-10 16:46:09	19.135502900	72.905590200		
T	2017-04-10 16:46:33	19.135562600	72.905516400		
T	2017-04-10 16:46:40	19.135713200	72.905608600		
T	2017-04-10 16:46:46	19.135718000	72.905795100		
T	2017-04-10 16:46:58	19.135451100	72.905863800		
T	2017-04-10 16:46:58	19.135557900	72.905864700		
T	2017-04-10 16:47:04	19.135422900	72.906145500		
T	2017-04-10 16:47:05	19.135397600	72.906401400		
T	2017-04-10 16:47:09	19.135370800	72.906577800		
T	2017-04-10 16:47:16	19.135307100	72.906943600		
T	2017-04-10 16:47:22	19.135226400	72.907282700		
T	2017-04-10 16:47:23	19.135171100	72.907470800		
T	2017-04-10 16:47:28	19.135122700	72.907679000		
T	2017-04-10 16:47:34	19.135108200	72.907846900		
T	2017-04-10 16:47:41	19.135116000	72.907945700		
T	2017-04-10 16:47:47	19.135021900	72.907980400		
T	2017-04-10 16:47:53	19.134921500	72.908377100		
T	2017-04-10 16:47:57	19.134742600	72.908819400		
T	2017-04-10 16:48:05	19.134587300	72.909275100		
T	2017-04-10 16:48:08	19.134441600	72.909749100		
T	2017-04-10 16:48:15	19.134356400	72.909980100		
T	2017-04-10 16:48:36	19.134306400	72.910084600		
T	2017-04-10 16:48:43	19.134218800	72.910273400		
T	2017-04-10 16:48:44	19.134172100	72.910424600		
T	2017-04-10 16:48:48	19.134172100	72.910424600		
T	2017-04-10 16:48:54	19.134032900	72.910918800		
T	2017-04-10 16:49:01	19.133896400	72.911320700		
T	2017-04-10 16:49:07	19.133788400	72.911752000		
T	2017-04-10 16:49:15	19.133675700	72.912092500		
T	2017-04-10 16:49:25	19.133571500	72.912240200		
T	2017-04-10 16:49:30	19.133478600	72.912636100		
T	2017-04-10 16:49:32	19.133385600	72.912746600		
T	2017-04-10 16:49:39	19.133279700	72.913062800		
T	2017-04-10 16:49:45	19.133134900	72.913413600		
T	2017-04-10 16:49:53	19.133008500	72.913854900		
T	2017-04-10 16:49:56	19.132872500	72.914230700		
T	2017-04-10 16:50:03	19.132665100	72.914667200		
T	2017-04-10 16:50:09	19.132284300	72.915004800		
T	2017-04-10 16:50:24	19.131971900	72.915168000		
T	2017-04-10 16:50:24	19.131742500	72.915284400		
T	2017-04-10 16:50:57	19.131499000	72.915322000		
T	2017-04-10 16:51:06	19.130951100	72.915500400		
T	2017-04-10 16:51:07	19.130753700	72.915667700		
T	2017-04-10 16:51:09	19.130476300	72.915659300		
T	2017-04-10 16:51:13	19.130357500	72.915660400		
T	2017-04-10 16:51:16	19.130317900	72.915551900		
T	2017-04-10 16:51:23	19.130199100	72.915434700		
