
T	19.125082900	72.916255000	TP001	
T	19.125130000	72.916390000	TP002	
T	19.125150000	72.916460000	TP003	
T	19.125190000	72.916520000	TP004	
T	19.125193800	72.916522700	TP005	
T	19.125770000	72.916240000	TP006	
T	19.126000000	72.916120000	TP007	
T	19.126020000	72.916110000	TP008	
T	19.126210000	72.916020000	TP009	
T	19.126490000	72.915880000	TP010	
T	19.126860000	72.915700000	TP011	
T	19.127120000	72.915580000	TP012	
T	19.127480000	72.915450000	TP013	
T	19.127740000	72.915380000	TP014	
T	19.127870000	72.915360000	TP015	
T	19.127990000	72.915340000	TP016	
T	19.128310000	72.915320000	TP017	
T	19.128440000	72.915320000	TP018	
T	19.129160000	72.915390000	TP019	
T	19.129580000	72.915410000	TP020	
T	19.129870000	72.915400000	TP021	
T	19.130120000	72.915380000	TP022	
T	19.130115600	72.915384600	TP023	
T	19.130110000	72.915260000	TP024	
T	19.130105500	72.915257700	TP025	
T	19.130110000	72.915250000	TP026	
T	19.130200000	72.915060000	TP027	
T	19.130201300	72.915063000	TP028	
T	19.130220000	72.915060000	TP029	
T	19.131260000	72.915100000	TP030	
T	19.131270000	72.915090000	TP031	
T	19.131820000	72.914980000	TP032	
T	19.131910000	72.914960000	TP033	
T	19.132000000	72.914940000	TP034	
T	19.132160000	72.914860000	TP035	
T	19.132370000	72.914740000	TP036	
T	19.132370000	72.914730000	TP037	
T	19.132370900	72.914734200	TP038	
T	19.132370000	72.914740000	TP039	
T	19.132440000	72.914830000	TP040	
T	19.132436300	72.914826100	TP041	
T	19.132570000	72.914710000	TP042	
T	19.132590000	72.914690000	TP043	
T	19.132670000	72.914580000	TP044	
T	19.132750000	72.914460000	TP045	
T	19.132810000	72.914320000	TP046	
T	19.132860000	72.914200000	TP047	
T	19.132920000	72.914000000	TP048	
T	19.133000000	72.913740000	TP049	
T	19.133002000	72.913737000	TP050	
T	19.133960000	72.914050000	TP051	
T	19.134290000	72.914160000	TP052	
T	19.135320000	72.914480000	TP053	
T	19.135350000	72.914490000	TP054	
T	19.135390000	72.914500000	TP055	
T	19.136020000	72.914700000	TP056	
T	19.136018200	72.914704100	TP057	
T	19.135950000	72.914410000	TP058	
T	19.135940000	72.914310000	TP059	
T	19.135880000	72.913870000	TP060	
T	19.135880000	72.913840000	TP061	
T	19.135890000	72.913580000	TP062	
T	19.135900000	72.913420000	TP063	
T	19.135900000	72.913400000	TP064	
T	19.135960000	72.913130000	TP065	
T	19.136060000	72.912520000	TP066	
T	19.136070000	72.912510000	TP067	
T	19.136070000	72.912370000	TP068	
T	19.136070000	72.912220000	TP069	
T	19.136060000	72.911970000	TP070	
T	19.136040000	72.911620000	TP071	
T	19.136036500	72.911621600	TP072	
T	19.136036500	72.911621600	TP073	
T	19.136060000	72.911970000	TP074	
T	19.136070000	72.912220000	TP075	
T	19.136070000	72.912370000	TP076	
T	19.136070000	72.912510000	TP077	
T	19.136060000	72.912520000	TP078	
T	19.135960000	72.913130000	TP079	
T	19.135900000	72.913400000	TP080	
T	19.135900000	72.913420000	TP081	
T	19.135890000	72.913580000	TP082	
T	19.135880000	72.913840000	TP083	
T	19.135880000	72.913870000	TP084	
T	19.135940000	72.914310000	TP085	
T	19.135950000	72.914410000	TP086	
T	19.136020000	72.914700000	TP087	
T	19.136018200	72.914704100	TP088	
T	19.135390000	72.914500000	TP089	
T	19.135350000	72.914490000	TP090	
T	19.135320000	72.914480000	TP091	
T	19.134290000	72.914160000	TP092	
T	19.133960000	72.914050000	TP093	
T	19.133000000	72.913740000	TP094	
T	19.133002000	72.913737000	TP095	
T	19.132920000	72.914000000	TP096	
T	19.132860000	72.914200000	TP097	
T	19.132810000	72.914320000	TP098	
T	19.132750000	72.914460000	TP099	
T	19.132670000	72.914580000	TP100	
T	19.132590000	72.914690000	TP101	
T	19.132570000	72.914710000	TP102	
T	19.132440000	72.914830000	TP103	
T	19.132370000	72.914870000	TP104	
T	19.132270000	72.914950000	TP105	
T	19.132160000	72.915010000	TP106	
T	19.132050000	72.915080000	TP107	
T	19.131970000	72.915120000	TP108	
T	19.131920000	72.915140000	TP109	
T	19.131870000	72.915160000	TP110	
